"","model","params","np","mtype","LH","r1","r2","a","xp","k","st","AIC","st2","r3","dAIC"
"1","pureBirth","r1",1,"RC",40201.3747141697,0.0781467755444751,NA,-80400.7494283393,NA,NA,NA,-80400.7494283393,NA,NA,717.414381920025
"2","bd","r1, a",2,"RC",40511.1195505447,0.046914577163534,NA,0.606610048526068,NA,NA,NA,-81018.2391010894,NA,NA,99.924709169878
"3","DDX","r1, X",2,"RV",40504.9633861303,0.00979445077829471,NA,-81005.9267722606,-0.260945293928845,NA,NA,-81005.9267722606,NA,NA,112.237037998697
"4","DDL","r1, k",2,"RV",39596.4875295873,0.0992003089243692,NA,-79188.9750591746,NA,17710.0000229633,NA,-79188.9750591746,NA,NA,1929.1887510847
"5","yule2rate","r1, r2, ts",3,"RV",40463.1497020444,0.0786504760857917,0.00266329047855885,NA,NA,NA,0.0848149949899835,-80920.2994040887,NA,NA,197.8644061706
"6","yule3rate","r1, r2, r3, st1, st2",5,"RV",40564.0819051297,0.0509520131101388,0.0866016381258874,NA,NA,NA,NA,-81118.1638102593,0.379090049355497,0.173686686281872,0
