"","model","params","np","mtype","LH","r1","r2","a","xp","k","st","AIC","st2","r3","dAIC"
"1","pureBirth","r1",1,"RC",115494.864903233,0.130067383359485,NA,-230987.729806466,NA,NA,NA,-230987.729806466,NA,NA,3351.8542350874
"2","bd","r1, a",2,"RC",117171.792020777,0.0559828150444081,NA,0.77360228059013,NA,NA,NA,-234339.584041553,NA,NA,0
"3","DDX","r1, X",2,"RV",117095.113669979,0.00425803952269783,NA,-234186.227339959,-0.393725843976988,NA,NA,-234186.227339959,NA,NA,153.356701594603
"4","DDL","r1, k",2,"RV",113624.889339333,0.16080234934364,NA,-227245.778678666,NA,39480.0000073481,NA,-227245.778678666,NA,NA,7093.80536288742
"5","yule2rate","r1, r2, ts",3,"RV",116700.566344193,0.130328063995943,0.00627197841730252,NA,NA,NA,0.0161539788900313,-233395.132688386,NA,NA,944.451353167009
"6","yule3rate","r1, r2, r3, st1, st2",5,"RV",117066.243844178,0.0756369935342993,0.158593054773554,NA,NA,NA,NA,-234122.487688357,0.109334008868331,0.451203179473352,217.096353196364
